colorIdentity,types,convertedManaCost,rarity,flavorText,sentiment,intensity
Blue,Creature,6.0,rare,"""Across the plains, farmers who braved the mists began to vanish. Most blamed the goblins; none guessed the truth.""",-0.1263,0.1263
White,Creature,1.0,common,"""Across the rift of battle, a bridge of gossamer. And for one moment, it holds.""",-0.3818,0.3818
Blue,Enchantment,1.0,uncommon,"""Adopt the character of the twisting octopus, which takes on the appearance of the nearby rock. Now follow in this direction, now turn a different hue.""",0.1779,0.1779
Green,Creature,3.0,rare,"""Aether is the soul of Kaladesh, and all souls should be free.""",0.0,0.0
Red,Instant,1.0,common,"""After Auntie brushed the soot from her eyes, she discovered something wonderful: the fire had turned the goat into something that smelled delicious.""",0.3182,0.3182
Black,Creature,1.0,common,"""After General Takeno found the Oathkeeper amidst the bamboo marshes, more scavengers braved the swamp's nezumi, oni, and kami in hopes of glory.""",0.7165,0.7165
White,Instant,3.0,common,"""After Lacjsi's speech, the Knights grew determined to crush their ancient enemies clan by clan.""",-0.34,0.34
Green,Creature,4.0,common,"""After everything I've survived, it's hard to be frightened by anything anymore.""",0.0,0.0
Black,Enchantment,4.0,rare,"""After four thousand years, you learn to plan for betrayal.""",0.0,0.0
Green,Creature,3.0,rare,"""After his death, monks spent ten years transcribing the tattoos from Reki's body and gathering stories from those who spoke with him. Thus the volume you hold was written.""",-0.5994,0.5994
Blue,Creature,7.0,rare,"""After making me, Zhou Yu, did you have to make Kongming?""",0.0,0.0
Green,Creature,6.0,uncommon,"""After the Rising, a treefolk's mind is as limber and green as its limbs, and is at its most receptive to our teachings.""",0.0,0.0
Red,Artifact,2.0,common,"""After the death of her mother, Cassia found that things that appear fragile can be very strong indeed.""",-0.079,0.079
Red,Creature,3.0,rare,"""After the people flee, but before the enemy arrives—that's grabbin' time.""",-0.6956,0.6956
Green,Sorcery,1.0,uncommon,"""After the storm, I found a sea turtle dying on the sands, a blade of grass driven through its shell.""",0.0,0.0
Green,Instant,1.0,common,"""After waking to the magic of Llanowar, no dreams can compare.""",0.128,0.128
Blue,Creature,5.0,uncommon,"""Afternoon, folks. Lovely day for a stroll with my authentic human baby.""",0.5859,0.5859
Black,Creature,6.0,rare,"""Ah, I remember my first death.""",0.0,0.0
Black,Creature,1.0,common,"""Ah, a faceshredder. Very rare. Nearly unstoppable. Good luck""",0.5908,0.5908
Black,Enchantment,7.0,rare,"""Ah, again it does not bode well for you.""",-0.2057,0.2057
Black,Creature,3.0,rare,"""Ah, this is a nice life. I can see why you were so desperate to keep it.""",-0.0493,0.0493
Red,Creature,5.0,uncommon,"""Ah, to be young again.""",0.0,0.0
Blue,Sorcery,4.0,rare,"""Ahh! Opposable digits!""",0.0,0.0
Red,Creature,5.0,rare,"""Air hot with sulfur.  Earth heaves beneath me.  Could it be the mountain  ate something bad?""",0.0,0.0
Blue,Creature,4.0,common,"""Airships are too confining. If I'm in the sky, I want to feel the wind in my hair and taste the aether.""",0.0772,0.0772
White,Creature,2.0,common,"""Ajani goes where he is needed most and in his name we keep his lands safe.""",0.0,0.0
Black,Enchantment,4.0,rare,"""Aku, City of Hidden Graves  Aku, City of Lost Kings  Aku, welcome me.""",-0.128,0.128
Black,Creature,3.0,common,"""All Dauthi are jackals, regardless of breed.""",0.0,0.0
Blue,Instant,4.0,common,"""All I ask is complete obedience.""",0.0,0.0
White,Creature,1.0,common,"""All animals—even humans—can be herded. The trick is to make them think they choose their own destination.""",-0.0516,0.0516
Black,Instant,1.0,common,"""All are not equal—neither in life nor after death. Bontu's favorites will stand highest in eternity.""",0.7137,0.7137
Blue,Enchantment,2.0,common,"""All armies prefer high ground to low and sunny places to dark.""",0.1779,0.1779
Red,Instant,1.0,common,"""All beings carry the fire inside them. The challenge is to unleash it before they dwindle into oblivion.""",-0.2732,0.2732
White,Instant,3.0,uncommon,"""All beings have an inner light. Let me show you yours.""",0.0,0.0
Black,Enchantment,4.0,uncommon,"""All bonds are parasitic. Only rulership is pure.""",0.0,0.0
Blue,Sorcery,2.0,uncommon,"""All clouds should be so organized.""",0.0,0.0
Blue,Enchantment,6.0,rare,"""All consciousness is one, separated only by a thin veil of the physical.""",0.0,0.0
Black,Sorcery,2.0,common,"""All dead move to the hollow rhythm of necromancy.""",-0.6486,0.6486
Black,Enchantment,4.0,rare,"""All ends in obliteration—love in hatred, life in death, and light in empty darkness.""",-0.872,0.872
White,Instant,1.0,common,"""All glamers lifted, all lies revealed, all flesh exposed.""",-0.4215,0.4215
Black,Creature,2.0,common,"""All hail the Demonlord Belzenlok, Evincar of the Stronghold, Scion of Darkness, Doom of Fools, Lord of the Wastes, Master of the Ebon Hand, Eternal Patriarch of the Cabal . . .""",-0.4404,0.4404
Red,Creature,3.0,uncommon,"""All kami are our enemies now, A very tough lesson to learn. But it's one that's taken quickly, When you feel what it's like to burn""",0.191,0.191
Black,Sorcery,4.0,rare,"""All knowledge has its price.""",0.0,0.0
Green,Creature,8.0,rare,"""All life is driven by an indomitable will to survive. I simply turn that into something more . . . tangible.""",0.0,0.0
Green,Sorcery,3.0,rare,"""All men have their appointed time; that's something no horse can change.""",-0.296,0.296
Red,Enchantment,1.0,common,"""All my life I've fought these monsters. Today I finish that fight.""",-0.3182,0.3182
Red,Creature,3.0,common,"""All my spells smell like burnt hair lately.""",0.3612,0.3612
Red,Creature,5.0,rare,"""All of Ravnica's looking for you, Dack, from the Wojek on down.""",0.0,0.0
Red,Instant,4.0,uncommon,"""All of those Consulate safety measures undone with one simple tweak.""",0.4215,0.4215
Blue,Creature,4.0,uncommon,"""All plans begin as dreams. I intend to awaken them.""",0.4019,0.4019
Blue,Creature,4.0,common,"""All questions will be answered during the Hour of Revelation.""",0.0,0.0
Red,Sorcery,1.0,uncommon,"""All right, let's light 'em up""",0.0,0.0
Black,Sorcery,3.0,uncommon,"""All rivers eventually run to the sea. My job is to sort out who goes first.""",0.0,0.0
Green,Creature,3.0,common,"""All struggles ultimately require sacrifice. It's just that some sacrifices are dearer than others.""",0.1027,0.1027
Blue,Creature,2.0,uncommon,"""All that concerns me is the vampires' sense of smell and those freezing Nephalian nights.""",-0.1027,0.1027
Green,Creature,4.0,common,"""All that matters is the path ahead.""",0.0258,0.0258
Black,Creature,2.0,common,"""All the dead sleep lightly here, no matter how refined their beds may be.""",-0.7506,0.7506
Blue,Instant,2.0,common,"""All the knowledge of Lat-Nam could not protect its sages from the Brothers' War.""",-0.2924,0.2924
Black,Sorcery,1.0,uncommon,"""All the power you have gathered for yourself, Liliana, I can take away.""",0.0,0.0
Green,Instant,5.0,common,"""All the sylvan secrets of this world are etched between my rings. The skinfolk's metal aberrations can rot between my roots.""",0.0,0.0
White,Creature,2.0,common,"""All the tortures of my vault of horrors pale in comparison to dealing with those petty Bureaucrats.""",-0.8402,0.8402
White,Instant,1.0,rare,"""All the wizardry in the world has to pass through one small and easily sealed door.""",0.34,0.34
Green,Creature,4.0,common,"""All things must eat, after all. Even the air can hunger.""",0.0,0.0
Blue,Instant,2.0,uncommon,"""All things return to their beginnings. The waters that spill across the Kamitaki Falls flow to sea, only to be returned to her as the rain that joins the mighty river.""",0.0,0.0
White,Sorcery,3.0,uncommon,"""All this nonsense made by magesRusts and crumbles through the ages.""",-0.4019,0.4019
Red,Instant,3.0,common,"""All this time I thought Squee was useless,""",0.0,0.0
Blue,Creature,3.0,common,"""All tinkerers have their heads in the clouds. I don't intend to stop there.""",0.2235,0.2235
White,Sorcery,4.0,common,"""All warfare is based on deception.""",-0.296,0.296
Blue,Enchantment,2.0,common,"""All we could lose, we did. All we could keep, we do. And both are shrouded by mists.""",-0.4019,0.4019
Green,Creature,4.0,common,"""All we had left were their black and bloated bodies.""",0.0,0.0
